Id,Price
4567,163787.8905060957
5925,117828.49063606738
960,209254.22937687172
3848,177124.1820809873
746,168623.9808006026
868,340094.4298402214
672,108579.76271620537
2471,202984.9136915979
4510,129050.14567648602
8354,276055.87015567924
6393,178667.17999782893
13270,232197.59065365125
5250,304766.4098146742
16751,173623.40259615547
11404,128394.23581409249
10588,331825.08159982605
14925,186637.06353635527
6791,188276.01994007934
16097,182292.5080836242
16428,361635.3927489089
6945,337256.77438686223
3190,186392.4722803639
15709,430530.17030157795
13155,192798.56716760236
7675,184029.01409156047
14686,237686.33021707297
609,164761.34242595834
11155,94828.73534045686
10869,201837.89788684127
15742,182345.81046652846
9245,181228.32958251878
3340,158471.04716359536
2359,276664.7455663544
8070,206462.40862957432
13707,125226.83462734899
16079,281672.2754588088
15937,304127.049157341
14090,185320.93929091337
9008,200725.96773421444
16384,186379.82205272364
11657,251977.83743399745
13151,152676.56605123612
8990,145918.19197508562
11857,197118.01431388405
1565,157908.4005137715
8174,119417.2169027809
9247,248745.3486162625
10478,211865.86937395827
15509,147189.35169629852
8306,287130.1190070259
6642,184835.51689005975
7472,219971.82413720264
15989,142605.73886393505
13682,137065.47001637446
163,268704.43846810586
7076,175593.80696058524
7478,410499.58920644363
3029,193064.59832782042
1814,146871.79371490944
10057,138638.32483925813
15100,195548.72085194013
12694,234694.87916036864
6291,178744.58079932147
12603,191328.75980811508
3218,243536.75980895793
13456,133311.11927472937
10170,226744.83361666455
4530,150176.10700955498
13329,168856.814876673
4820,144989.5975238763
10896,165699.25677390757
13416,116347.62240408399
2701,203134.07317296296
11265,331861.81391359784
9189,233661.69916942006
1858,176319.7542548391
14536,241538.27402876175
6199,299215.9101401125
14730,153161.4719383247
7510,276066.88618848583
15505,169180.22039163942
7446,179639.31002172298
14016,123872.49912691391
14113,109796.53349755505
8721,357843.87234674935
6193,311888.4359735312
5717,177025.7822241876
5427,328674.49187158747
9520,442521.5339219354
6869,101037.15970280401
1658,157112.12520319782
6639,176512.2707070484
6283,202962.5685475876
6257,124888.88920815781
15235,187643.0118529831
902,199677.78907234737
8932,211593.45486951497
16469,369235.70532049605
2825,276752.1284478304
6450,418615.46169194096
11366,183324.57212221637
3801,356022.20507612196
11385,206340.86266749862
1079,178525.49521499663
3202,252251.34344064246
676,224095.06355101816
6185,283162.5932860838
7730,166280.050159055
2573,184130.53839455757
10978,212400.28655189674
10962,250306.34369700207
8870,208570.73004806496
8496,199128.66158556403
5517,186154.20729337542
927,183690.91273232328
13675,187296.11512250954
1499,231423.5152549408
15536,337921.73611497803
8602,299815.85310140735
12137,431825.9639432384
9865,261909.36725675425
16353,281410.33799744624
15908,218910.13526026523
3944,181886.30350674075
10359,205556.660769207
15158,214469.68312488007
3259,250938.30246137243
7220,320158.00057173637
13843,200676.08672547026
16736,188769.60631048656
702,239896.31913287312
16401,89788.07035147518
12134,175324.78401451441
6918,218297.47855623718
11792,131006.98645470223
3798,136212.5214392858
10395,127069.45708420551
11099,136839.80035194755
7090,209535.0489679973
11260,195722.27210324208
9647,208525.48169615
2903,396997.15308928816
2071,184003.9111212799
8604,162570.20511236085
9346,194111.09803455323
3945,211012.4723794803
3420,168862.39604227745
10842,127246.52801004659
725,202875.27024260155
13931,199380.0002015583
16330,222897.41998458307
9066,383087.71528155403
3326,320180.4555218645
1556,278364.5997769477
6579,177027.70037947744
13877,156293.42313880316
9857,325490.15238089324
7302,265725.69469228794
5684,200546.17149466276
6513,226859.2689834047
11342,118686.71022627856
16561,153388.5968964049
6885,177442.88802742772
9308,184131.10922173806
2559,191890.22702487194
6648,186538.48087237886
15260,160441.94094786802
5113,190385.18399754097
16492,193571.37310626626
12034,282337.9208076048
7248,206532.5741667463
2171,192314.04624337942
10594,179935.8364650954
13241,187877.99277627544
7032,143844.00949669027
4884,167473.97802779978
903,240613.2428584291
162,179675.01790111716
6566,242470.52334205643
8249,115313.4208270371
13106,232711.27790321267
256,126000.1388624623
7976,167173.22412900004
8575,166493.87881808254
7591,264648.3780126136
3204,268455.25928171235
15804,199419.91215142887
1525,313498.94190224144
9038,193332.32992059007
13628,210776.80937872955
10016,205619.3415983646
10208,240166.726303815
2008,192809.6209634823
13029,194536.7019420702
5099,127871.01471866362
9923,277603.11391462485
9461,123194.4695213592
11086,181325.7651668295
15057,251017.59894583028
10689,173374.40928602533
2053,223793.19474108695
16630,177706.61010229308
4985,163493.9653215545
13881,233698.5087875483
13225,195255.37322784404
5779,67628.3046033433
10262,188018.4167864778
10762,202911.30862213887
9513,180888.96694076518
11128,153017.63259846458
2074,302341.47568952665
933,197480.6909133101
2780,180081.23992075783
6594,124162.58291324186
15394,324476.1010992577
14863,150359.42796202074
6698,216483.05487656264
1611,248885.58476887413
174,201654.5386842814
5160,193432.4055658998
3295,338326.4811729901
4559,378654.70519757486
8254,173204.66671203903
10228,95061.68319332857
13924,136870.81201926726
15341,241970.02503541228
